Season,Team,1HisotryHomeWinRatio,1HistoryAwayWinRatio,1homeGainPoins,1homeLosePoins,1awayGainPoins,1awayLosePoins,firstPlay,inPlayoff
1948,WCP,116.0,86.95652173913044,17.08,15.76,4.6521739130434785,3.9130434782608696,False,False
1948,BAB,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1948,BOS,49.99999999999999,40.0,3.607142857142857,4.0,13.5,13.25,False,True
1948,CHS,91.66666666666667,70.83333333333334,9.75,9.833333333333334,3.625,4.791666666666667,False,True
1948,SLB,91.66666666666667,66.66666666666667,7.291666666666667,5.208333333333333,4.75,4.875,False,True
1948,NYK,75.0,62.5,7.166666666666667,6.958333333333333,5.75,5.75,False,True
1948,PHW,104.16666666666667,41.66666666666667,10.708333333333334,9.291666666666666,5.208333333333333,4.333333333333333,False,True
1948,PRO,95.0,32.14285714285714,8.25,9.1,9.25,8.928571428571429,False,False
1949,INJ,0.0,0.0,0.0,0.0,0.0,0.0,True,False
1949,SLB,58.62068965517242,42.857142857142854,5.551724137931035,5.517241379310345,5.5,5.071428571428571,False,True
1949,FTW,0.0,0.0,0.0,0.0,0.0,0.0,True,False
1949,NYK,40.0,48.27586206896552,5.866666666666666,6.166666666666667,3.586206896551724,3.9310344827586206,False,True
1949,WCP,66.66666666666667,27.586206896551726,8.2,7.0,6.241379310344827,6.0,False,True
1949,PHW,48.27586206896552,43.333333333333336,7.068965517241379,5.862068965517241,3.8666666666666667,3.1333333333333333,False,True
1949,PRO,6.8965517241379315,13.793103448275863,0.7241379310344828,1.4827586206896552,8.931034482758621,11.482758620689655,False,False
1949,BOS,48.27586206896552,22.22222222222222,3.5172413793103448,4.0,7.407407407407407,7.222222222222222,False,False
1949,BAB,55.17241379310345,42.857142857142854,6.9655172413793105,6.620689655172414,4.214285714285714,3.5357142857142856,False,True
1949,MNL,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1949,CHS,58.333333333333336,45.16129032258065,4.791666666666667,5.291666666666667,2.5483870967741935,2.4838709677419355,False,True
1949,ROC,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1950,TRI,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1950,DNN,0.0,0.0,0.0,0.0,0.0,0.0,True,False
1950,CHS,66.66666666666667,48.57142857142858,9.041666666666666,7.458333333333333,4.628571428571429,4.4,False,True
1950,NYK,62.06896551724138,38.23529411764706,6.0344827586206895,6.206896551724138,3.9705882352941178,3.6176470588235294,False,True
1950,ROC,70.58823529411764,60.6060606060606,9.735294117647058,10.147058823529411,2.1515151515151514,3.121212121212121,False,True
1950,SHE,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1950,INO,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1950,SLB,54.83870967741935,29.41176470588235,4.258064516129032,2.870967741935484,7.9411764705882355,7.794117647058823,False,False
1950,PHW,63.333333333333336,28.125,6.2,5.9,5.9375,5.9375,False,True
1950,MNL,78.78787878787878,47.05882352941176,12.727272727272727,10.06060606060606,5.852941176470588,5.4411764705882355,False,True
1950,WCP,67.6470588235294,50.0,8.441176470588236,8.794117647058824,5.166666666666667,5.566666666666666,False,True
1950,BAB,54.83870967741935,33.33333333333333,6.838709677419355,4.870967741935484,3.727272727272727,4.181818181818182,False,False
1950,WAT,0.0,0.0,0.0,0.0,0.0,0.0,True,False
1950,AND,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1950,BOS,65.38461538461539,21.21212121212121,5.730769230769231,4.346153846153846,7.242424242424242,7.181818181818182,False,False
1950,FTW,44.11764705882353,14.705882352941176,4.529411764705882,4.676470588235294,4.470588235294118,9.0,False,True
1950,SYR,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1951,ROC,97.05882352941175,49.99999999999999,15.264705882352942,11.705882352941176,5.382352941176471,4.529411764705882,False,True
1951,WCP,110.52631578947368,66.66666666666667,11.263157894736842,12.473684210526315,14.466666666666667,15.533333333333333,False,False
1951,INO,75.0,35.29411764705882,12.125,11.96875,6.5,6.294117647058823,False,True
1951,FTW,82.35294117647058,37.5,9.588235294117647,8.970588235294118,8.65625,8.84375,False,True
1951,BOS,40.0,15.15151515151515,6.066666666666666,6.133333333333334,7.212121212121212,9.272727272727273,False,True
1951,BAB,50.0,28.57142857142857,4.65625,4.625,9.25,12.464285714285714,False,False
1951,MNL,100.0,54.54545454545454,16.1875,2.375,4.848484848484849,4.909090909090909,False,True
1951,SYR,100.0,45.45454545454545,13.93939393939394,8.727272727272727,4.03030303030303,4.0,False,True
1951,TRI,57.142857142857146,19.35483870967742,6.4,6.428571428571429,8.483870967741936,8.483870967741936,False,False
1951,NYK,70.37037037037037,50.0,7.777777777777778,7.888888888888889,5.861111111111111,5.888888888888889,False,True
1951,PHW,45.45454545454545,25.0,5.0,3.6666666666666665,10.28125,10.6875,False,True
1952,ROC,87.87878787878788,40.0,10.454545454545455,9.545454545454545,6.466666666666667,6.533333333333333,False,True
1952,BAB,62.5,16.0,7.96875,8.0,9.28,12.72,False,False
1952,SYR,67.6470588235294,30.0,9.441176470588236,9.323529411764707,4.8,8.166666666666666,False,True
1952,FTW,81.81818181818181,15.625,8.363636363636363,7.454545454545454,7.3125,11.21875,False,True
1952,INO,64.51612903225806,34.48275862068966,6.354838709677419,6.290322580645161,12.344827586206897,12.724137931034482,False,True
1952,MNL,96.66666666666667,36.36363636363636,13.933333333333334,12.533333333333333,5.181818181818182,5.151515151515151,False,True
1952,PHW,90.3225806451613,35.483870967741936,11.838709677419354,8.129032258064516,6.064516129032258,5.935483870967742,False,True
