RegularSeason,Season,Date,HomeTeam,AwayTeam,HistoryHomeWin,HistoryHomeLose,newFeature,HomeTeamWin
1,0.711864407,0.7,NJN,PHI,30,25,0.941443011,lose
1,0.898305085,0.883333333,LAK,ATL,30,6,1.176158939,win
1,0.830508475,0.833333333,BOS,IND,44,15,0.809674634,lose
1,0.423728814,0.433333333,DET,PHX,28,17,0.873853027,lose
1,0.101694915,0.1,PHW,ROC,19,5,1.327262694,win
1,0.169491525,0.166666667,NYK,PHW,42,17,0.980132451,lose
1,0.86440678,0.85,GSW,SAC,21,14,1.146570035,win
1,0.694915254,0.7,SAC,CHI,8,7,1.100499595,win
1,0.576271186,0.566666667,DET,IND,43,16,1.095442151,win
1,0.898305085,0.9,MIA,LAK,8,8,0.885280922,lose
1,0.610169492,0.6,SDC,PHX,6,6,0.862516556,lose
1,0.661016949,0.666666667,CLE,NJN,39,10,1.026076159,lose
1,0.813559322,0.8,NYK,NJN,42,14,1.042694095,lose
1,0.13559322,0.133333333,MNL,NYK,29,6,1.316177864,win
1,0.050847458,0.066666667,SYR,ROC,20,2,1.239579274,win
1,0.728813559,0.716666667,BOS,PHI,94,25,1.057005584,lose
1,0.305084746,0.3,CIN,DET,43,9,1.260170292,win
1,0.440677966,0.433333333,CHI,KCO,11,1,1.266632706,win
1,0.305084746,0.3,NYK,PHI,66,30,0.968323626,lose
1,0.355932203,0.366666667,BAL,SFW,19,8,1.153826809,win
1,0.322033898,0.316666667,BOS,NYK,135,34,1.252391465,win
1,0.830508475,0.816666667,CHI,POR,27,12,1.109855864,win
1,0.847457627,0.85,TRN,CLE,10,6,1.193204721,win
1,0.728813559,0.733333333,IND,ATL,53,12,1.023373588,lose
1,0.525423729,0.533333333,MIL,HOU,21,10,1.339514351,win
1,0.93220339,0.933333333,TRN,LAC,6,2,0.932321112,lose
1,0.06779661,0.066666667,MNL,PHW,32,4,1.350404708,win
1,0.796610169,0.783333333,IND,DET,42,19,0.967064017,lose
1,0.355932203,0.366666667,DET,PHI,52,23,0.864822751,lose
1,0.355932203,0.366666667,CIN,CHI,9,5,0.980132449,lose
1,0.322033898,0.316666667,STL,PHI,15,6,1.267637969,win
1,0.898305085,0.9,DAL,SAN,34,25,1.081525463,win
1,0.779661017,0.783333333,MIL,UTA,15,7,0.892359395,lose
1,0.169491525,0.183333333,ROC,FTW,37,8,1.020137856,lose
1,0.559322034,0.55,MIL,CHI,56,22,1.074117755,win
1,0.610169492,0.616666667,DET,PHI,52,23,1.015558924,lose
1,0.627118644,0.633333333,KCK,PHX,15,6,0.880698723,lose
1,0.644067797,0.633333333,MIL,SAN,16,6,1.281711668,win
1,0.118644068,0.116666667,BAB,SYR,9,4,1.617218542,lose
1,0.847457627,0.85,IND,MIN,14,1,1.362217982,win
1,0.711864407,0.716666667,LAK,DAL,47,4,1.100764138,win
1,0.881355932,0.883333333,MIA,WAZ,12,0,1.272086796,win
1,0.949152542,0.933333333,PHX,CLE,30,5,1.225165564,win
1,0.762711864,0.75,PHI,UTA,14,5,1.022746905,lose
1,0.898305085,0.883333333,LAK,WAZ,5,1,1.353516239,win
1,0.508474576,0.5,PHX,SAN,48,17,1.14348786,win
1,0.084745763,0.083333333,BOS,PHW,59,6,1.580858795,lose
1,0.474576271,0.466666667,PHI,BUF,13,8,1.099337748,win
1,0.457627119,0.466666667,DET,MIL,58,27,1.153096998,win
1,0.406779661,0.416666667,LAK,SEA,75,16,1.132880366,win
1,0.06779661,0.083333333,MNL,INO,12,1,1.801324504,win
1,0.677966102,0.666666667,LAK,DEN,41,7,1.319409067,win
1,0.542372881,0.55,MIL,SAN,16,6,1.255450554,win
1,0.576271186,0.566666667,PHI,ATL,42,20,1.250513815,win
1,0.016949153,0.016666667,BAB,NYK,12,6,1.905813088,win
1,0.949152542,0.95,IND,LAK,13,8,1.013357278,lose
1,0.576271186,0.583333333,LAK,SEA,75,16,1.210040063,win
1,0.508474576,0.5,LAK,POR,73,20,1.115323134,win
1,0.728813559,0.733333333,IND,WAS,27,8,1.30684327,win
1,0.288135593,0.3,BOS,BAL,24,3,1.254569535,lose
