RegularSeason,Season,Date,HomeTeam,AwayTeam,HistoryHomeWin,HistoryHomeLose,newFeature,HomeTeamWin
1,0.762711864,0.766666667,MIL,DET,60,13,1.420191917,win
1,0.86440678,0.866666667,UTA,PHI,14,4,1.117694899,win
1,0.338983051,0.333333333,LAK,CIN,42,4,1.013546057,lose
1,0.322033898,0.333333333,NYK,LAK,30,28,1.178361487,win
0,0.169491525,0.183333333,BOS,SYR,55,10,1.413652575,win
1,0.288135593,0.3,SFW,CIN,15,11,0.933459475,lose
1,0.898305085,0.9,POR,UTA,41,8,1.234240863,win
1,0.983050847,0.966666667,DEN,DAL,39,16,1.71523179,win
1,0.813559322,0.816666667,PHX,UTA,41,10,0.926426562,lose
0,0.796610169,0.8,IND,NYK,43,15,1.256580063,win
1,0.576271186,0.583333333,IND,UTA,15,3,1.479807816,win
1,0.644067797,0.65,POR,SEA,55,16,1.729645498,win
1,0.576271186,0.583333333,PHX,MIL,33,13,1.143487859,win
1,0.474576271,0.466666667,DET,PHX,28,17,0.941443011,lose
1,0.915254237,0.916666667,GSW,SAN,31,15,0.916210768,lose
1,1,1,MIN,UTA,13,13,0.822611164,lose
1,0.389830508,0.383333333,BAL,SDI,8,0,1.228822773,win
1,0.033898305,0.05,BAB,WCP,8,2,1.286423842,win
1,0.728813559,0.733333333,SEA,DEN,44,13,1.127152317,win
1,0.762711864,0.75,IND,UTA,15,3,1.245033112,win
1,0.796610169,0.783333333,DET,ORL,22,6,1.17978906,win
1,0.644067797,0.65,DET,DAL,15,6,1.101136458,win
1,0.542372881,0.533333333,SEA,SAN,36,13,1.269351863,win
1,0.881355932,0.883333333,ORL,BOS,17,9,1.394803873,win
1,0.93220339,0.933333333,CHI,WAZ,9,5,0.904737645,lose
1,1,0.983333333,SEA,NOK,1,1,0.965503608,lose
1,0.711864407,0.716666667,WAS,NYK,25,20,1.032639547,lose
1,0.305084746,0.316666667,SFW,PHI,15,11,1.154026918,win
1,0.084745763,0.083333333,INO,SYR,9,1,1.256580063,win
1,0.084745763,0.1,BAB,NYK,12,6,0.803387255,lose
1,0.796610169,0.8,IND,MIL,41,17,0.929435945,lose
0,0.949152542,0.95,NJNN,SAS,1,2,1.134890203,win
1,0.86440678,0.866666667,CLE,MIL,37,22,1.350404708,win
1,1,1,MEM,SAN,6,2,1.023693892,lose
1,0.881355932,0.883333333,DET,ATL,52,23,1.247441301,win
1,0.796610169,0.8,DAL,MIN,14,10,1.271109272,win
1,0.542372881,0.533333333,DET,ATL,52,23,1.066979629,win
1,0.86440678,0.866666667,PHI,MIA,16,9,0.833112583,lose
1,0.830508475,0.833333333,SEA,CLE,31,6,1.244014266,win
1,0.593220339,0.583333333,GSW,DET,25,9,0.994134341,lose
1,0.915254237,0.916666667,CHA,CHI,13,14,1.207663198,win
1,0.966101695,0.966666667,DEN,MIN,21,6,1.029969691,lose
1,0.949152542,0.933333333,MIN,IND,7,7,0.965927633,lose
1,0.966101695,0.966666667,PHI,SAC,12,5,0.928546531,lose
1,0.13559322,0.133333333,FTW,MNL,30,4,1.54757755,lose
1,0.13559322,0.133333333,ROC,FTW,37,8,1.316177864,win
1,0.796610169,0.8,PHI,ATL,42,20,0.845364237,lose
1,0.423728814,0.433333333,DET,CHI,66,25,0.746767581,lose
1,0.983050847,0.983333333,ORL,PHX,9,5,1.016887416,lose
