RegularSeason,Season,Date,HomeTeam,AwayTeam,HistoryHomeWin,HistoryHomeLose,newFeature,HomeTeamWin
1,0.745762712,0.75,LAC,MIN,21,6,1.29263845,win
1,0.576271186,0.583333333,WAS,BOS,35,20,0.76821192,lose
1,0.966101695,0.966666667,POR,DAL,35,11,0.994134341,lose
1,0.830508475,0.816666667,TRN,BOS,6,8,0.791645441,lose
1,0.728813559,0.733333333,GSW,PHX,37,32,0.913521506,lose
1,0.305084746,0.316666667,LAK,BAL,20,7,1.160683164,win
1,0.898305085,0.9,UTA,VAN,8,1,0.829342843,lose
1,0.559322034,0.55,CHI,CLE,49,18,1.153826809,win
1,0.728813559,0.716666667,NYK,PHI,66,30,1.161079981,win
1,0.474576271,0.466666667,BUF,BOS,14,10,0.810242824,lose
1,0.779661017,0.783333333,CHI,IND,40,7,1.20145268,win
1,0.830508475,0.833333333,WAS,TRN,3,0,1.279155909,win
1,0.254237288,0.266666667,SYR,PHW,59,14,1.337748344,win
1,0.13559322,0.133333333,SYR,PHW,59,14,1.614335798,win
1,0.983050847,0.966666667,DET,ATL,52,23,0.764503312,lose
1,0.949152542,0.95,ORL,NJN,16,11,1.285062547,win
1,0.389830508,0.383333333,SDI,SFW,8,4,1.076538921,lose
1,0.711864407,0.716666667,ATL,CLE,52,16,1.185644094,win
1,0.813559322,0.816666667,LAC,UTA,20,19,1.355849891,win
1,0.711864407,0.716666667,PHI,PHX,22,10,0.993745403,lose
1,0.372881356,0.366666667,ATL,SFW,5,3,1.153097003,win
1,0.983050847,0.983333333,MIA,NJN,22,9,2.069168513,win
1,1,1,SAC,LAC,26,6,1.233614981,win
0,0.661016949,0.666666667,DAL,LAK,22,26,1.065894038,win
1,0.830508475,0.816666667,VAN,LAC,6,2,0.947461369,lose
1,0.711864407,0.716666667,LAC,GSW,26,12,1.058097531,win
1,0.423728814,0.433333333,CIN,HOU,0,2,0.80192655,lose
0,0.796610169,0.8,HOU,PHX,39,21,1.242667928,win
1,0.508474576,0.516666667,LAK,POR,73,20,1.1408099,win
1,0.06779661,0.083333333,MNL,INO,12,1,1.059602648,lose
1,0.949152542,0.95,CHI,DEN,19,6,1.738944676,win
1,0.033898305,0.033333333,FTW,BOS,21,5,1.279617366,win
0,0.86440678,0.866666667,HOU,UTA,35,19,1.167817386,win
1,0.847457627,0.85,SEA,UTA,33,14,0.996200195,lose
1,0.457627119,0.466666667,NYK,CLE,48,13,1.400189215,win
0,0.389830508,0.4,LAK,PHX,84,17,1.258278146,win
1,1,1,DEN,SAN,37,20,1.288692664,win
1,0.322033898,0.316666667,CIN,BOS,26,25,1.205080883,win
0,0.050847458,0.066666667,SYR,MNL,32,5,1.28964796,win
1,0.86440678,0.866666667,VAN,SAN,0,8,0.871228846,lose
1,0.983050847,0.983333333,NYK,NJN,42,14,0.962311859,lose
1,0.881355932,0.883333333,PHI,MIA,16,9,0.864822749,lose
1,0.474576271,0.466666667,KCO,SEA,3,2,0.993745403,lose
1,0.220338983,0.233333333,CIN,PHW,4,8,0.920730482,lose
1,0.033898305,0.05,ROC,PRO,3,0,2.323276927,win
1,0.644067797,0.633333333,KCK,ATL,11,0,1.391155736,win
0,0.13559322,0.15,SYR,FTW,25,1,1.091090842,win
1,1,1,IND,BOS,34,20,0.829342844,lose
1,0.86440678,0.866666667,MIA,NYK,21,15,1.116895115,win
1,1,1,BOS,ORL,21,7,1.207663198,win
1,0.13559322,0.15,SYR,ROC,20,2,1.10014867,win
1,0.13559322,0.133333333,BOS,MNL,32,8,1.026805424,lose
1,0.288135593,0.3,PHI,CIN,27,4,1.356073664,win
1,0.576271186,0.583333333,PHI,DAL,11,8,1.159593321,win
1,0.169491525,0.183333333,FTW,BOS,21,5,0.784105962,lose
1,0.830508475,0.816666667,ATL,NJN,31,7,1.128076972,win
0,0.813559322,0.816666667,NYK,IND,46,10,1.022746905,lose
1,0.423728814,0.416666667,BUF,CIN,3,2,1.51643134,win
1,0.847457627,0.833333333,SAC,LAK,20,16,1.034584254,lose
1,0.508474576,0.516666667,PHI,ATL,42,20,1.20145268,win
1,0.050847458,0.066666667,AND,BAB,1,0,1.562913908,win
1,0.661016949,0.666666667,BOS,NJN,42,16,1.191047027,win
1,0.305084746,0.316666667,NYK,DET,76,25,1.172945393,lose
1,0.186440678,0.183333333,CIN,SYR,13,7,0.933459477,lose
1,0.610169492,0.616666667,PHX,DAL,34,10,0.887417218,lose
1,0.627118644,0.633333333,SDC,POR,9,5,1.165562914,win
1,0.86440678,0.85,VAN,HOU,3,6,1.126420875,win
1,0.423728814,0.416666667,BUF,GSW,5,5,0.789551141,lose
1,0,0.016666667,NYK,BOS,107,65,0.588079473,lose
1,0.016949153,0.033333333,SLB,NYK,5,4,1.026805422,lose
1,0.745762712,0.75,PHX,NYK,30,13,1.382686851,win
1,1,1,LAC,NJ,1,0,1.432501272,win
1,0.796610169,0.783333333,SEA,WAS,23,6,1.182918474,win
1,0.847457627,0.833333333,DAL,CHI,12,8,0.804211242,lose
1,0.728813559,0.716666667,MIL,SAN,16,6,1.245931081,win
1,0.525423729,0.516666667,DET,ATL,52,23,0.857615895,lose
1,0.966101695,0.966666667,SAC,DEN,30,5,1.210751852,win
1,0.203389831,0.216666667,NYK,PHW,42,17,1.470198676,win
1,0.406779661,0.4,PHI,MIL,50,30,1.221614359,win
1,0.966101695,0.95,NYK,DEN,21,5,1.215364236,win
1,0.694915254,0.7,CLE,ATL,40,26,1.251553744,win
1,0.966101695,0.95,MIL,CHI,56,22,1.306843267,win
0,0.915254237,0.916666667,PHI,MIL,50,30,1.097748343,win
1,0.050847458,0.05,SHE,BAB,0,1,0.98013245,lose
1,0.491525424,0.5,ATL,BOS,42,29,1.14348786,win
1,0.033898305,0.05,CHS,MNL,4,3,1.196093837,win
1,0.508474576,0.5,POR,IND,15,4,1.425647201,win
1,0.508474576,0.516666667,WAS,HOU,19,9,0.961639386,lose
1,0.966101695,0.966666667,SAC,WAZ,6,0,1.216090261,win
1,0.576271186,0.566666667,SAN,SDC,9,1,1.075755128,win
1,0.440677966,0.433333333,LAK,DET,70,15,1.233813792,win
1,0.355932203,0.366666667,STL,PHI,15,6,0.894903542,lose
1,0.440677966,0.45,HOU,KCO,3,2,0.98013245,lose
1,0.677966102,0.683333333,IND,SEA,18,8,1.411390728,win
1,0.593220339,0.583333333,PHI,BOS,73,40,1.102649006,win
1,0.796610169,0.8,HOU,LAC,27,7,1.29263845,win
1,0.93220339,0.933333333,SEA,DAL,30,14,0.829342843,lose
1,0.152542373,0.166666667,NYK,PHW,42,17,1.238062043,win
1,0.898305085,0.9,HOU,PHX,39,21,0.952128666,lose
1,0.440677966,0.433333333,DET,PHX,28,17,1.184936245,win
0,0.779661017,0.783333333,CHI,PHX,30,17,0.910122989,lose
1,0.491525424,0.5,PHI,CLE,53,14,1.229054977,win
1,0.728813559,0.733333333,SAN,DAL,35,17,0.993937132,lose
1,0.762711864,0.75,LAK,LAC,34,6,0.980132449,lose
1,0.508474576,0.5,SEA,POR,57,15,1.120151372,win
1,0.033898305,0.033333333,NYK,ROC,24,3,1.197939661,win
1,0.745762712,0.75,DAL,WAS,7,3,1.487097511,win
1,0.525423729,0.533333333,PHX,GSW,69,14,1.156877647,win
1,0.949152542,0.95,DET,IND,43,16,0.963796911,lose
1,0.644067797,0.65,UTA,LAK,35,18,0.860604103,lose
1,0.13559322,0.15,MNL,MIH,15,2,1.171377806,win
1,0.779661017,0.783333333,ORL,BOS,17,9,0.904737646,lose
1,1,0.983333333,SAN,LAC,27,6,1.240167589,win
1,0.983050847,0.983333333,UTA,SAC,29,10,1.314268515,win
1,0.355932203,0.366666667,CIN,SEA,8,1,1.197939662,win
1,0.983050847,0.966666667,ATL,DAL,13,7,1.264687034,win
1,0.644067797,0.65,CLE,IND,44,13,1.470198678,win
1,0.322033898,0.316666667,PHI,STL,20,1,1.208830023,lose
1,0,0.016666667,TOR,NYK,3,0,1.619349269,win
1,0,0.016666667,CLR,WCP,1,2,0.681831271,lose
1,0.627118644,0.633333333,SDC,DAL,5,2,0.841760811,lose
1,0,0,PRO,BOS,4,1,1.698896249,win
1,0.576271186,0.583333333,DAL,SAN,34,25,0.937517997,lose
1,0.423728814,0.416666667,ATL,GSW,18,11,1.084085893,win
1,0.423728814,0.416666667,GSW,HOU,30,22,0.801926551,lose
1,0.610169492,0.616666667,WAS,MIL,27,14,1.390420451,win
1,0.779661017,0.783333333,DEN,UTA,40,17,1.318723659,win
1,0.338983051,0.333333333,BAL,NYK,27,13,0.800968454,lose
1,0.508474576,0.516666667,MIL,CHI,56,22,0.765728478,lose
1,0.254237288,0.266666667,SYR,NYK,63,6,1.323178807,win
1,0.830508475,0.833333333,TRN,ORL,10,5,0.590307043,lose
1,0.576271186,0.583333333,SAN,SEA,42,9,1.17615894,win
1,0.813559322,0.816666667,WAS,CHI,27,14,1.182382002,win
1,0.779661017,0.783333333,SEA,LAC,39,5,1.33654425,win
1,0.288135593,0.3,BOS,SFW,20,4,0.932706687,lose
1,0.93220339,0.916666667,NJN,BOS,30,20,0.950874764,lose
1,0.016949153,0.033333333,BOS,PRO,6,4,0.860604103,lose
1,0.830508475,0.833333333,ATL,PHX,24,12,0.609594572,lose
1,0.593220339,0.6,SDC,KCK,7,7,0.967064017,lose
1,0.305084746,0.3,SFW,DET,24,5,1.028335687,lose
1,0.745762712,0.75,HOU,SEA,49,20,1.013357278,lose
1,0.474576271,0.483333333,HOU,POR,44,13,1.611773363,win
1,0.559322034,0.566666667,GSW,KCK,15,4,0.951722814,lose
1,0.627118644,0.616666667,DET,DAL,15,6,1.232590808,win
1,0.152542373,0.166666667,ROC,NYK,20,3,0.980132452,lose
1,0.491525424,0.483333333,PHI,LAK,45,14,1.247441301,win
1,0.898305085,0.883333333,MIN,VAN,10,1,1.782059004,win
1,0.711864407,0.7,NJN,DAL,12,7,1.063802295,win
1,0.440677966,0.433333333,SEA,NYK,29,11,0.687555599,lose
1,0.898305085,0.9,MIL,HOU,21,10,1.233614981,win
1,0.542372881,0.533333333,NJN,PHI,30,25,1.274172186,win
1,0.93220339,0.933333333,IND,BOS,34,20,0.892359395,lose
1,0.661016949,0.65,NJN,BOS,30,20,0.830981859,lose
1,0.050847458,0.066666667,AND,SYR,2,1,1.7922422,win
1,0.372881356,0.366666667,NYK,SDI,7,2,0.967064017,lose
1,0.542372881,0.533333333,SEA,IND,21,3,1.183796337,win
1,0.406779661,0.4,NYK,SEA,32,10,1.118179274,win
1,0.288135593,0.3,DET,NYK,77,34,1.092606667,lose
1,0.949152542,0.95,SEA,DEN,44,13,1.092606667,win
1,0.881355932,0.883333333,LAK,HOU,52,12,1.375955173,win
1,0.271186441,0.283333333,SFW,NYK,17,10,1.11285872,win
