RegularSeason,Season,Date,HomeTeam,AwayTeam,HistoryHomeWin,HistoryHomeLose,newFeature,HomeTeamWin
1,0.949152542,0.95,CHI,LAC,13,3,0.965053491,lose
1,0.86440678,0.85,ORL,NJN,16,11,0.883725981,lose
1,0.440677966,0.45,BUF,KCO,2,3,1.153097003,win
1,0.694915254,0.683333333,SAC,SAN,22,13,1.470198674,win
1,0.06779661,0.066666667,PHW,SYR,47,13,1.136953641,win
1,0.610169492,0.6,IND,GSW,16,9,1.061810154,win
1,0.694915254,0.683333333,GSW,LAC,27,11,1.00319439,lose
1,1,1,UTA,GS,1,1,1.102649008,win
1,0.93220339,0.933333333,CHI,ATL,49,20,0.964817882,lose
1,0.474576271,0.466666667,WAS,ATL,33,14,1.202889825,win
1,0.355932203,0.366666667,DET,SFW,16,10,1.33654425,win
1,1,0.983333333,NOK,PHX,0,2,0.855671187,lose
1,0.491525424,0.5,NOHJ,CLE,7,4,0.925680649,lose
1,0.593220339,0.6,UTA,NJN,14,2,0.940927151,lose
1,0.796610169,0.783333333,CLE,IND,44,13,1.115843097,win
1,0.440677966,0.45,POR,KCO,5,1,1.420191917,win
0,0.050847458,0.066666667,FTW,ROC,23,10,1.127152321,win
1,0.728813559,0.733333333,WAS,HOU,19,9,1.197939663,win
1,0.322033898,0.316666667,SFW,DET,24,5,1.235819176,lose
1,0.881355932,0.883333333,CHA,MIL,15,9,0.967064017,lose
1,0.830508475,0.833333333,BOS,DEN,24,1,1.078145697,win
1,0.93220339,0.933333333,DEN,POR,41,14,1.095442151,win
1,0.644067797,0.633333333,HOU,NYK,29,10,1.283082479,win
1,0.881355932,0.883333333,SAC,SEA,23,16,1.044403431,lose
1,0.711864407,0.716666667,WAS,NJN,25,10,1.272709299,win
0,0.762711864,0.766666667,SAN,PHX,49,12,0.917901818,lose
0,0.694915254,0.7,DAL,DEN,45,10,1.289647962,win
1,0.610169492,0.616666667,ATL,POR,27,5,1.37218543,win
1,0.983050847,0.983333333,NYK,POR,27,7,1.170307404,win
1,1,1,PHX,LAC,33,11,0.871228845,lose
1,0.881355932,0.883333333,PHI,MIL,50,30,1.05141481,lose
1,0.677966102,0.683333333,SAC,WAS,6,4,1.382926608,win
1,0.898305085,0.883333333,SEA,IND,21,3,1.276021491,win
1,0.898305085,0.883333333,VAN,HOU,3,6,0.943377483,lose
1,0.474576271,0.483333333,SEA,POR,57,15,1.100764138,win
1,0.93220339,0.933333333,ATL,GSW,18,11,1.487097511,win
1,0.559322034,0.566666667,CHI,SEA,38,15,0.793440555,lose
1,0.627118644,0.633333333,LAK,POR,73,20,1.094101339,win
1,0.576271186,0.583333333,DET,CLE,54,10,1.173398003,win
1,0.593220339,0.583333333,ATL,BOS,42,29,0.931125829,lose
1,0.847457627,0.85,LAC,DAL,19,18,1.707327498,win
1,0.762711864,0.75,POR,IND,15,4,1.487097511,win
0,0.457627119,0.466666667,NYK,BOS,107,65,0.947461369,lose
1,0.169491525,0.166666667,MNL,NYK,29,6,0.916898098,lose
1,0.033898305,0.033333333,BOS,BAB,13,3,0.816777044,lose
1,0.711864407,0.7,DEN,BOS,17,6,1.339054192,win
1,0.389830508,0.383333333,ATL,PHI,49,15,1.122180632,win
1,0.93220339,0.933333333,GSW,LAC,27,11,1.115843097,win
1,0.779661017,0.783333333,NYK,PHI,66,30,1.225165564,win
1,0.949152542,0.95,IND,BOS,34,20,1.20145268,win
1,0.06779661,0.066666667,SYR,NYK,63,6,1.266004415,win
1,0.288135593,0.3,LAK,BOS,55,27,1.127152317,win
1,0.559322034,0.55,NJN,IND,29,15,1.291285608,win
1,0.610169492,0.6,PHI,POR,24,11,1.008959876,lose
1,0.915254237,0.9,MIN,WAZ,7,1,1.411390728,win
1,0.254237288,0.25,NYK,CHP,2,0,1.311869587,win
1,0.847457627,0.85,ORL,SEA,7,6,0.938718403,lose
1,0.796610169,0.8,ORL,NJN,16,11,1.608896663,win
1,0.728813559,0.733333333,POR,DEN,43,11,1.107422379,win
1,0.440677966,0.433333333,MIL,DET,60,13,1.55187638,win
1,0.728813559,0.733333333,WAS,DET,26,8,0.835522745,lose
1,0.728813559,0.716666667,PHI,MIA,16,9,1.51643134,win
1,0.576271186,0.583333333,MIL,KCK,12,2,1.125827814,win
1,0.644067797,0.65,SAN,PHI,22,6,1.146001019,win
1,0.322033898,0.333333333,BAL,CIN,19,8,1.345853513,win
1,0.152542373,0.166666667,NYK,FTW,21,3,0.996200195,lose
0,0.796610169,0.8,ORL,IND,16,9,1.025369333,lose
1,0.457627119,0.466666667,PHX,LAK,55,31,1.139072848,win
1,0.186440678,0.183333333,STL,SYR,20,2,1.275727951,win
1,0.457627119,0.45,MIL,POR,34,6,1.185644094,win
1,0.423728814,0.433333333,ATL,CHI,50,23,1.029139074,lose
1,0.762711864,0.766666667,CLE,ORL,16,6,1.339514351,win
1,0.440677966,0.433333333,BUF,ATL,9,7,0.908415441,lose
1,0.644067797,0.633333333,POR,UTA,41,8,1.147472136,win
1,0.644067797,0.65,DEN,CLE,24,5,1.222412383,win
1,0,0,TOR,PIT,1,1,0.775938193,lose
1,0.305084746,0.316666667,DET,CIN,43,13,0.872930465,lose
1,0.508474576,0.516666667,HOU,DET,25,9,1.150590268,win
1,0.355932203,0.35,PHI,BAL,19,6,1.382926608,win
1,0.627118644,0.633333333,GSW,DEN,37,11,1.059335073,win
1,0.457627119,0.466666667,POR,BOS,23,11,1.023373588,lose
1,0.593220339,0.583333333,PHI,SAN,14,9,0.980132452,lose
1,0.525423729,0.533333333,MIL,PHX,35,12,0.788612316,lose
1,0.796610169,0.8,CHA,IND,16,7,1.809475294,win
1,0.169491525,0.183333333,MNL,PHW,32,4,1.074983978,win
1,0.898305085,0.883333333,LAC,GSW,26,12,1.091090842,win
1,0.694915254,0.7,LAC,UTA,20,19,0.966887418,lose
0,0.152542373,0.166666667,PHW,FTW,24,4,1.137653738,win
1,0.372881356,0.383333333,NYK,SEA,32,10,1.417691581,lose
1,0.033898305,0.05,FTW,BAB,13,3,1.666225161,win
1,0.491525424,0.5,BOS,LAK,63,25,1.133878716,win
1,0.084745763,0.1,SYR,MNL,32,5,1.126420875,win
1,0.423728814,0.433333333,GSW,BAL,5,0,1.107975813,win
1,0.491525424,0.483333333,PHI,BUF,13,8,0.98013245,lose
1,0.915254237,0.916666667,CHA,GSW,9,3,1.109583905,win
1,0.593220339,0.6,MIL,BOS,51,20,1.090397351,win
1,0.677966102,0.683333333,NYK,CLE,48,13,1.272709299,win
1,0.610169492,0.616666667,PHX,SDC,10,2,1.197939661,win
1,0.440677966,0.433333333,CLE,SEA,21,10,1.085685176,win
1,0.220338983,0.233333333,PHW,STL,22,2,1.267000485,win
1,0.728813559,0.716666667,SAC,BOS,10,4,1.005590437,lose
1,0.423728814,0.433333333,BOS,BUF,21,2,1.40397351,win
1,0.406779661,0.416666667,BUF,CIN,3,2,0.891029501,lose
1,0.423728814,0.433333333,CIN,DET,43,9,1.042694097,win
0,0.728813559,0.733333333,BOS,NYK,135,34,0.9565148,lose
1,0.372881356,0.383333333,SFW,NYK,17,10,0.707184173,lose
1,0.033898305,0.05,PHW,WCP,5,6,0.958825222,lose
1,0.949152542,0.95,WAZ,BOS,9,4,1.000135154,lose
1,0.983050847,0.966666667,DET,TRN,17,3,1.163907287,win
1,0.677966102,0.683333333,CHI,WAS,27,10,1.801324504,win
1,0.898305085,0.9,MIA,MIL,21,6,1.113786876,win
1,0.440677966,0.433333333,MIL,DET,60,13,1.51643134,win
1,0.559322034,0.55,KCK,POR,11,11,1.897703254,win
1,0.694915254,0.7,LAK,DAL,47,4,0.925680649,lose
1,0.86440678,0.85,ORL,CHI,14,11,1.192494483,win
