RegularSeason,Season,Date,HomeTeam,AwayTeam,HistoryHomeWin,HistoryHomeLose,newFeature,HomeTeamWin
1,0.406779661,0.4,CHI,DET,55,29,1.00494593,lose
1,0.610169492,0.616666667,SAN,KCK,15,3,1.267637969,win
1,0.593220339,0.6,SEA,KCK,15,2,1.280172998,win
0,0.491525424,0.5,PHX,GSW,69,14,0.931929215,lose
1,0.101694915,0.1,INO,MIH,9,2,0.808609271,lose
1,0.186440678,0.2,NYK,BOS,107,65,1.187689911,win
1,0.644067797,0.633333333,CLE,IND,44,13,0.955000849,lose
1,0.966101695,0.966666667,DET,MEM,3,1,1.15165563,win
1,0.898305085,0.9,IND,MIN,14,1,1.584895023,win
1,0.847457627,0.85,ORL,WAS,12,2,1.176158939,win
1,0.898305085,0.9,CHI,PHI,43,31,0.876960613,lose
1,0.559322034,0.566666667,DET,WAS,32,8,1.093770996,win
1,0.033898305,0.033333333,INJ,WCP,2,0,1.494701988,win
1,0.118644068,0.116666667,PHW,BOS,48,17,1.070606214,win
1,0.423728814,0.416666667,BUF,PHX,8,3,1.027558213,lose
1,0.593220339,0.6,DAL,GSW,28,11,0.98013245,lose
1,0.86440678,0.85,CHI,PHX,30,17,1.158338349,win
1,0.440677966,0.45,PHX,BOS,27,11,0.961100752,lose
1,0.661016949,0.666666667,MIL,CHI,56,22,1.39544281,win
1,0.779661017,0.783333333,NYK,HOU,31,8,1.581968166,win
1,0.508474576,0.5,SEA,DET,35,11,1.100764138,win
1,0.406779661,0.416666667,BOS,CIN,45,8,1.388520973,win
1,0.305084746,0.316666667,LAK,BOS,55,27,1.029969691,lose
1,0.711864407,0.716666667,SAC,WAS,6,4,0.937517997,lose
1,0.983050847,0.966666667,POR,PHX,48,22,0.779382431,lose
1,0.542372881,0.533333333,KCK,MIL,11,5,0.995211412,lose
1,0.983050847,0.966666667,SAN,UTA,39,10,1.960264898,win
1,0.661016949,0.65,CLE,WAS,38,11,0.946907621,lose
1,0.474576271,0.466666667,HOU,PHX,39,21,0.980132449,lose
1,0.542372881,0.55,KCK,GSW,10,9,1.033838339,lose
1,0.525423729,0.533333333,POR,DEN,43,11,1.025369333,lose
1,0.254237288,0.266666667,CIN,LAK,26,6,1.104374592,win
1,0.661016949,0.666666667,LAC,CLE,13,7,1.13570903,win
1,0.93220339,0.916666667,UTA,PHX,33,18,0.953279506,lose
1,0.745762712,0.75,WAS,CLE,37,10,1.113786876,win
1,0.983050847,0.983333333,SAC,NJN,12,2,1.4256472,win
1,0.983050847,0.966666667,WAZ,CHI,14,5,1.215364236,win
1,0.084745763,0.1,PHW,ROC,19,5,0.857615894,lose
1,0.966101695,0.966666667,DEN,HOU,40,16,1.217261269,win
1,0.898305085,0.883333333,UTA,POR,50,8,1.180159482,win
1,0.915254237,0.916666667,SEA,MIN,21,6,1.087055989,win
1,0.322033898,0.333333333,CIN,BAL,24,7,1.241501103,win
1,0.457627119,0.466666667,NYK,ATL,51,18,1.2684067,win
1,0.169491525,0.183333333,FTW,SYR,22,4,1.846296008,win
1,0.593220339,0.6,DEN,LAK,30,16,1.038358142,win
1,0.983050847,0.983333333,NYK,HOU,31,8,1.052734853,lose
0,0.593220339,0.6,BOS,WAS,35,13,1.040448293,lose
1,0.406779661,0.4,PHX,DET,26,13,1.007358352,lose
1,0.203389831,0.216666667,BOS,MNL,32,8,1.176158941,lose
1,0.237288136,0.25,SYR,CIN,18,6,1.024683924,lose
0,0.542372881,0.55,SAN,PHI,22,6,1.051849459,win
1,0.593220339,0.6,NYK,DAL,14,4,1.01986755,lose
1,0.372881356,0.383333333,CIN,BAL,24,7,0.980132449,lose
1,1,1,SAC,ORL,10,2,1.12240974,win
1,0.983050847,0.966666667,IND,LAC,16,2,0.536009933,lose
1,0.169491525,0.183333333,NYK,MNL,26,5,1.264228814,win
1,0.271186441,0.283333333,DET,CIN,43,13,0.898454748,lose
1,0.847457627,0.85,MIL,CLE,46,14,1.075755128,lose
1,0.966101695,0.95,ORL,NYK,11,11,0.683513418,lose
1,0.762711864,0.75,MIN,DEN,21,5,1.234240863,win
1,0.423728814,0.416666667,DET,MIL,58,27,0.94039735,lose
1,0.288135593,0.283333333,LAK,CIN,42,4,1.178807948,win
1,0.220338983,0.216666667,SYR,BOS,55,19,0.98013245,lose
1,0.813559322,0.816666667,BOS,SAC,10,3,1.079806935,win
1,0.813559322,0.816666667,DET,ORL,22,6,1.242667928,win
1,0.983050847,0.983333333,CLE,DET,41,28,1.495991632,win
1,0.254237288,0.25,STL,DET,44,3,1.197939662,win
1,0.305084746,0.316666667,LAK,BOS,55,27,0.94039735,lose
1,0.440677966,0.45,BUF,SEA,5,7,0.844272507,lose
1,0.271186441,0.283333333,SFW,STL,24,11,1.204162725,win
1,0.186440678,0.183333333,DET,NYK,77,34,1.079566177,win
1,0.440677966,0.45,GSW,PHX,37,32,0.96756665,lose
1,0.627118644,0.633333333,SAN,CLE,21,3,1.12015137,win
1,0.830508475,0.816666667,DAL,GSW,28,11,1.406276994,win
1,0.576271186,0.583333333,GSW,KCK,15,4,1.199817308,win
1,0.559322034,0.55,LAK,DEN,41,7,1.085146641,win
1,0.610169492,0.616666667,PHI,LAK,45,14,1.063802295,win
1,0.525423729,0.533333333,DEN,WAS,14,4,1.14348786,win
1,0.966101695,0.966666667,DET,LAC,15,1,1.205080883,win
1,0.728813559,0.733333333,MIN,UTA,13,13,0.859500765,lose
